trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
276,False,"{'a': 0.35, 'e': 0.25283959580474646}",35,20,19.893215578409485,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.35, 'e': 0.25157855305975646}",20,12,-5.554392980655304,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.35, 'e': 0.2503237997916961}",25,7,34.31575763411045,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.35, 'e': 0.24907530463166816}",20,9,18.96889109234673,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.35, 'e': 0.24783303636722875}",20,4,25.753785745079906,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.35, 'e': 0.24659696394160643}",20,14,13.012477882396258,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.35, 'e': 0.24536705645292634}",20,5,-14.206204338691286,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
283,False,"{'a': 0.35, 'e': 0.2441432831534371}",20,0,10.756370452922305,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
284,False,"{'a': 0.35, 'e': 0.24292561344874244}",25,0,11.7791248906509,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
285,False,"{'a': 0.35, 'e': 0.24171401689703645}",25,0,-45.970635949377474,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
286,False,"{'a': 0.35, 'e': 0.24050846320834213}",30,18,11.821341552476845,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
287,False,"{'a': 0.35, 'e': 0.23930892224375455}",20,13,2.0774175936092067,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.35, 'e': 0.23811536401468703}",20,11,-23.980983070954522,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
289,False,"{'a': 0.35, 'e': 0.23692775868212176}",25,8,21.9159374718599,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.35, 'e': 0.23574607655586352}",25,3,-29.36367009197551,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 1}",1
291,False,"{'a': 0.35, 'e': 0.23457028809379765}",30,10,0.14164578146601547,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
292,False,"{'a': 0.35, 'e': 0.23340036390115132}",30,17,10.957448080839914,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
293,False,"{'a': 0.35, 'e': 0.23223627472975883}",20,15,9.545845906202224,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.35, 'e': 0.23107799147733019}",30,0,-34.79161253508597,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
295,False,"{'a': 0.35, 'e': 0.22992548518672384}",30,16,5.49360207033872,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.35, 'e': 0.22877872704522242}",30,23,-28.04841697813776,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
297,False,"{'a': 0.35, 'e': 0.22763768838381274}",35,22,24.427274302777942,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.35, 'e': 0.22650234067646874}",20,13,13.800414838955653,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.35, 'e': 0.22537265553943872}",30,16,8.03859334401376,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
300,False,"{'a': 0.35, 'e': 0.22424860473053532}",30,22,-38.789434578320325,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
301,False,"{'a': 0.35, 'e': 0.22313016014842982}",20,11,16.835938440396284,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.35, 'e': 0.22201729383194937}",35,25,5.989933874599821,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.35, 'e': 0.2209099779593782}",35,6,-43.09607460111075,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 1}",1
304,False,"{'a': 0.35, 'e': 0.21980818484776168}",25,10,-56.77295617205509,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 1}",1
305,False,"{'a': 0.35, 'e': 0.21871188695221475}",20,6,22.872254334612247,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.35, 'e': 0.21762105686523284}",20,7,-8.70457777458287,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
307,False,"{'a': 0.35, 'e': 0.21653566731600707}",20,10,-7.065093325706998,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
308,False,"{'a': 0.35, 'e': 0.21545569116974203}",25,13,9.640423697893443,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
309,False,"{'a': 0.35, 'e': 0.21438110142697794}",25,11,16.315647047946033,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.35, 'e': 0.21331187122291523}",20,0,11.989840728023708,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
311,False,"{'a': 0.35, 'e': 0.21224797382674304}",25,13,4.551722711933045,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.35, 'e': 0.21118938264097117}",30,0,-10.965670895703907,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",1
313,False,"{'a': 0.35, 'e': 0.21013607120076472}",20,12,3.1652476059087453,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
